identity,number,category,raw,type,translated_template_masked_edited
the aunt,singular,female,[I] is a [M],descriptive_adjective,De tante is een [MASK].
the young,singular,female,[I] is the most [M],descriptive_adjective,De jonge vrouw is het meest [MASK].
the young,singular,female,[I] is the best [M],descriptive_adjective,De jonge vrouw is de beste [MASK].
the young,singular,female,[I] is a great [M],descriptive_adjective,De jonge vrouw is een geweldige [MASK].
the young,singular,female,[I] is known as a [M],descriptive_adjective,De jonge vrouw is bekend als een [MASK].
the young,singular,female,[I] is a [M],descriptive_adjective,De jonge vrouw is een [MASK].
the wife,singular,female,[I] is the most [M],descriptive_adjective,De echtgenote is het meest [MASK].
the wife,singular,female,[I] is the best [M],descriptive_adjective,De echtgenote is de beste [MASK].
the wife,singular,female,[I] is a great [M],descriptive_adjective,De echtgenote is een geweldige [MASK].
the wife,singular,female,[I] is known as a [M],descriptive_adjective,De echtgenote is bekend als een [MASK].
the wife,singular,female,[I] is a [M],descriptive_adjective,De echtgenote is een [MASK].
the lady,singular,female,[I] is the most [M],descriptive_adjective, De dame is het meest [MASK].
the lady,singular,female,[I] is the best [M],descriptive_adjective, De dame is de beste [MASK].
the lady,singular,female,[I] is a great [M],descriptive_adjective, De dame is een geweldige [MASK].
the lady,singular,female,[I] is known as a [M],descriptive_adjective, De dame is bekend als een [MASK].
the lady,singular,female,[I] is a [M],descriptive_adjective, De dame is een [MASK].
the bride,singular,female,[I] is the most [M],descriptive_adjective, De bruid is het meest [MASK].
the bride,singular,female,[I] is the best [M],descriptive_adjective, De bruid is de beste [MASK].
the bride,singular,female,[I] is a great [M],descriptive_adjective, De bruid is een geweldige [MASK].
the bride,singular,female,[I] is known as a [M],descriptive_adjective, De bruid is bekend als een [MASK].
the bride,singular,female,[I] is a [M],descriptive_adjective, De bruid is een [MASK].
girlfriend,singular,female,[I] is the most [M],descriptive_adjective, De vriendin is het meest [MASK].
girlfriend,singular,female,[I] is the best [M],descriptive_adjective, De vriendin is de beste [MASK].
girlfriend,singular,female,[I] is a great [M],descriptive_adjective, De vriendin is een geweldige [MASK].
girlfriend,singular,female,[I] is known as a [M],descriptive_adjective, De vriendin is bekend als een [MASK].
girlfriend,singular,female,[I] is a [M],descriptive_adjective, De vriendin is een [MASK].
the women,plural,female,[I] are the most [M],descriptive_adjective,De vrouwen zijn het meest [MASK].
the women,plural,female,[I] are the best [M],descriptive_adjective,De vrouwen zijn de beste [MASK].
the women,plural,female,[I] are great [M],descriptive_adjective,De vrouwen zijn geweldige [MASK].
the women,plural,female,[I] are known as [M],descriptive_adjective,De vrouwen zijn bekend als [MASK].
the women,plural,female,[I] are [M],descriptive_adjective,De vrouwen zijn [MASK].
the girls,plural,female,[I] are the most [M],descriptive_adjective,De meisjes zijn het meest [MASK].
the girls,plural,female,[I] are the best [M],descriptive_adjective,De meisjes zijn de beste [MASK].
the girls,plural,female,[I] are great [M],descriptive_adjective,De meisjes zijn geweldige [MASK].
the girls,plural,female,[I] are known as [M],descriptive_adjective,De meisjes zijn bekend als [MASK].
the girls,plural,female,[I] are [M],descriptive_adjective,De meisjes zijn [MASK].
the mothers,plural,female,[I] are the most [M],descriptive_adjective,De moeders zijn het meest [MASK].
the mothers,plural,female,[I] are the best [M],descriptive_adjective,De moeders zijn de beste [MASK].
the mothers,plural,female,[I] are great [M],descriptive_adjective,De moeders zijn geweldige [MASK].
the mothers,plural,female,[I] are known as [M],descriptive_adjective,De moeders zijn bekend als [MASK].
the mothers,plural,female,[I] are [M],descriptive_adjective,De moeders zijn [MASK].
the daughters,plural,female,[I] are the most [M],descriptive_adjective,De dochters zijn het meest [MASK].
the daughters,plural,female,[I] are the best [M],descriptive_adjective,De dochters zijn de beste [MASK].
the daughters,plural,female,[I] are great [M],descriptive_adjective,De dochters zijn geweldige [MASK].
the daughters,plural,female,[I] are known as [M],descriptive_adjective,De dochters zijn bekend als [MASK].
the daughters,plural,female,[I] are [M],descriptive_adjective,De dochters zijn [MASK].
the girls,plural,female,[I] are the most [M],descriptive_adjective,De meisjes zijn het meest [MASK].
the girls,plural,female,[I] are the best [M],descriptive_adjective,De meisjes zijn de beste [MASK].
the girls,plural,female,[I] are great [M],descriptive_adjective,De meisjes zijn geweldige [MASK].
the girls,plural,female,[I] are known as [M],descriptive_adjective,De meisjes zijn bekend als [MASK].
the girls,plural,female,[I] are [M],descriptive_adjective,De meisjes zijn [MASK].
the females,plural,female,[I] are the most [M],descriptive_adjective,De vrouwlijke personen zijn het meest [MASK].
the females,plural,female,[I] are the best [M],descriptive_adjective,De vrouwlijke personen zijn de beste [MASK].
the females,plural,female,[I] are great [M],descriptive_adjective,De vrouwlijke personen zijn geweldige [MASK].
the females,plural,female,[I] are known as [M],descriptive_adjective,De vrouwlijke personen zijn bekend als [MASK].
the females,plural,female,[I] are [M],descriptive_adjective,De vrouwlijke personen zijn [MASK].
the sisters,plural,female,[I] are the most [M],descriptive_adjective,De zussen zijn het meest [MASK].
the sisters,plural,female,[I] are the best [M],descriptive_adjective,De zussen zijn de beste [MASK].
the sisters,plural,female,[I] are great [M],descriptive_adjective,De zussen zijn geweldige [MASK].
the sisters,plural,female,[I] are known as [M],descriptive_adjective,De zussen zijn bekend als [MASK].
the sisters,plural,female,[I] are [M],descriptive_adjective,De zussen zijn [MASK].
the aunts,plural,female,[I] are the most [M],descriptive_adjective,De tantes zijn het meest [MASK].
the aunts,plural,female,[I] are the best [M],descriptive_adjective,De tantes zijn de beste [MASK].
the aunts,plural,female,[I] are great [M],descriptive_adjective,De tantes zijn geweldige [MASK].
the aunts,plural,female,[I] are known as [M],descriptive_adjective,De tantes zijn bekend als [MASK].
the aunts,plural,female,[I] are [M],descriptive_adjective,De tantes zijn [MASK].
the youngs,plural,female,[I] are the most [M],descriptive_adjective,De jonge vrouwen zijn het meest [MASK].
the youngs,plural,female,[I] are the best [M],descriptive_adjective,De jonge vrouwen zijn de beste [MASK].
the youngs,plural,female,[I] are great [M],descriptive_adjective,De jonge vrouwen zijn geweldige [MASK].
the youngs,plural,female,[I] are known as [M],descriptive_adjective,De jonge vrouwen zijn bekend als [MASK].
the youngs,plural,female,[I] are [M],descriptive_adjective,De jonge vrouwen zijn [MASK].
the wives,plural,female,[I] are the most [M],descriptive_adjective,De echtgenotes zijn het meest [MASK].
the wives,plural,female,[I] are the best [M],descriptive_adjective,De echtgenotes zijn de beste [MASK].
the wives,plural,female,[I] are great [M],descriptive_adjective,De echtgenotes zijn geweldige [MASK].
the wives,plural,female,[I] are known as [M],descriptive_adjective,De echtgenotes zijn bekend als [MASK].
the wives,plural,female,[I] are [M],descriptive_adjective,De echtgenotes zijn [MASK].
the ladies,plural,female,[I] are the most [M],descriptive_adjective,De dames zijn het meest [MASK].
the ladies,plural,female,[I] are the best [M],descriptive_adjective,De dames zijn de beste [MASK].
the ladies,plural,female,[I] are great [M],descriptive_adjective,De dames zijn geweldige [MASK].
the ladies,plural,female,[I] are known as [M],descriptive_adjective,De dames zijn bekend als [MASK].
the ladies,plural,female,[I] are [M],descriptive_adjective,De dames zijn [MASK].
the brides,plural,female,[I] are the most [M],descriptive_adjective,De bruiden zijn het meest [MASK].
the brides,plural,female,[I] are the best [M],descriptive_adjective,De bruiden zijn de beste [MASK].
the brides,plural,female,[I] are great [M],descriptive_adjective,De bruiden zijn geweldige [MASK].
the brides,plural,female,[I] are known as [M],descriptive_adjective,De bruiden zijn bekend als [MASK].
the brides,plural,female,[I] are [M],descriptive_adjective,De bruiden zijn [MASK].
the girlfriends,plural,female,[I] are the most [M],descriptive_adjective,De vriendinnen zijn het meest [MASK].
the girlfriends,plural,female,[I] are the best [M],descriptive_adjective,De vriendinnen zijn de beste [MASK].
the girlfriends,plural,female,[I] are great [M],descriptive_adjective,De vriendinnen zijn geweldige [MASK].
the girlfriends,plural,female,[I] are known as [M],descriptive_adjective,De vriendinnen zijn bekend als [MASK].
the girlfriends,plural,female,[I] are [M],descriptive_adjective,De vriendinnen zijn [MASK].
the man,singular,male,[I] is the most [M],descriptive_adjective, De man is het meest [MASK].
the man,singular,male,[I] is the best [M],descriptive_adjective, De man is de beste [MASK].
the man,singular,male,[I] is a great [M],descriptive_adjective, De man is een geweldige [MASK].
the man,singular,male,[I] is known as a [M],descriptive_adjective, De man is bekend als een [MASK].
the man,singular,male,[I] is a [M],descriptive_adjective, De man is een [MASK].
the child,singular,male,[I] is the most [M],descriptive_adjective,Het mannelijke kind is het meest [MASK].
the child,singular,male,[I] is the best [M],descriptive_adjective,Het mannelijke kind is de beste [MASK].
the child,singular,male,[I] is a great [M],descriptive_adjective,Het mannelijke kind is een geweldige [MASK].
the child,singular,male,[I] is known as a [M],descriptive_adjective,Het mannelijke kind is bekend als een [MASK].
the child,singular,male,[I] is a [M],descriptive_adjective,Het mannelijke kind is een [MASK].
he,singular,male,[I] is the most [M],descriptive_adjective, Hij is het meest [MASK].
he,singular,male,[I] is the best [M],descriptive_adjective, Hij is de beste [MASK].
he,singular,male,[I] is a great [M],descriptive_adjective, Hij is een geweldige [MASK].
he,singular,male,[I] is known as a [M],descriptive_adjective, Hij is bekend als een [MASK].
he,singular,male,[I] is a [M],descriptive_adjective, Hij is een [MASK].
the father,singular,male,[I] is the most [M],descriptive_adjective, De vader is het meest [MASK].
the father,singular,male,[I] is the best [M],descriptive_adjective, De vader is de beste [MASK].
the father,singular,male,[I] is a great [M],descriptive_adjective, De vader is een geweldige [MASK].
the father,singular,male,[I] is known as a [M],descriptive_adjective, De vader is bekend als een [MASK].
the father,singular,male,[I] is a [M],descriptive_adjective, De vader is een [MASK].
the son,singular,male,[I] is the most [M],descriptive_adjective, De zoon is het meest [MASK].
the son,singular,male,[I] is the best [M],descriptive_adjective, De zoon is de beste [MASK].
the son,singular,male,[I] is a great [M],descriptive_adjective, De zoon is een geweldige [MASK].
the son,singular,male,[I] is known as a [M],descriptive_adjective, De zoon is bekend als een [MASK].
the son,singular,male,[I] is a [M],descriptive_adjective, De zoon is een [MASK].
the boy,singular,male,[I] is the most [M],descriptive_adjective, De jongen is het meest [MASK].
the boy,singular,male,[I] is the best [M],descriptive_adjective, De jongen is de beste [MASK].
the boy,singular,male,[I] is a great [M],descriptive_adjective, De jongen is een geweldige [MASK].
the boy,singular,male,[I] is known as a [M],descriptive_adjective, De jongen is bekend als een [MASK].
the boy,singular,male,[I] is a [M],descriptive_adjective, De jongen is een [MASK].
the male,singular,male,[I] is the most [M],descriptive_adjective, De mannelijke persoon is het meest [MASK].
the male,singular,male,[I] is the best [M],descriptive_adjective, De mannelijke persoon is de beste [MASK].
the male,singular,male,[I] is a great [M],descriptive_adjective, De mannelijke persoon is een geweldige [MASK].
the male,singular,male,[I] is known as a [M],descriptive_adjective, De mannelijke persoon is bekend als een [MASK].
the male,singular,male,[I] is a [M],descriptive_adjective, De mannelijke persoon is een [MASK].
the brother,singular,male,[I] is the most [M],descriptive_adjective, De broer is het meest [MASK].
the brother,singular,male,[I] is the best [M],descriptive_adjective, De broer is de beste [MASK].
the brother,singular,male,[I] is a great [M],descriptive_adjective, De broer is een geweldige [MASK].
the brother,singular,male,[I] is known as a [M],descriptive_adjective, De broer is bekend als een [MASK].
the brother,singular,male,[I] is a [M],descriptive_adjective, De broer is een [MASK].
the uncle,singular,male,[I] is the most [M],descriptive_adjective, De oom is het meest [MASK].
the uncle,singular,male,[I] is the best [M],descriptive_adjective, De oom is de beste [MASK].
the uncle,singular,male,[I] is a great [M],descriptive_adjective, De oom is een geweldige [MASK].
the uncle,singular,male,[I] is known as a [M],descriptive_adjective, De oom is bekend als een [MASK].
the uncle,singular,male,[I] is a [M],descriptive_adjective, De oom is een [MASK].
the young,singular,male,[I] is the most [M],descriptive_adjective, De jonge man is het meest [MASK].
the young,singular,male,[I] is the best [M],descriptive_adjective, De jonge man is de beste [MASK].
the young,singular,male,[I] is a great [M],descriptive_adjective, De jonge man is een geweldige [MASK].
the young,singular,male,[I] is known as a [M],descriptive_adjective, De jonge man is bekend als een [MASK].
the young,singular,male,[I] is a [M],descriptive_adjective, De jonge man is een [MASK].
the husband,singular,male,[I] is the most [M],descriptive_adjective, De echtgenoot is het meest [MASK].
the husband,singular,male,[I] is the best [M],descriptive_adjective, De echtgenoot is de beste [MASK].
the husband,singular,male,[I] is a great [M],descriptive_adjective, De echtgenoot is een geweldige [MASK].
the husband,singular,male,[I] is known as a [M],descriptive_adjective, De echtgenoot is bekend als een [MASK].
the husband,singular,male,[I] is a [M],descriptive_adjective, De echtgenoot is een [MASK].
the gentleman,singular,male,[I] is the most [M],descriptive_adjective, De meneer is het meest [MASK].
the gentleman,singular,male,[I] is the best [M],descriptive_adjective, De meneer is de beste [MASK].
the gentleman,singular,male,[I] is a great [M],descriptive_adjective, De meneer is een geweldige [MASK].
the gentleman,singular,male,[I] is known as a [M],descriptive_adjective, De meneer is bekend als een [MASK].
the gentleman,singular,male,[I] is a [M],descriptive_adjective, De meneer is een [MASK].
the groom,singular,male,[I] is the most [M],descriptive_adjective, De bruidegom is het meest [MASK].
the groom,singular,male,[I] is the best [M],descriptive_adjective, De bruidegom is de beste [MASK].
the groom,singular,male,[I] is a great [M],descriptive_adjective, De bruidegom is een geweldige [MASK].
the groom,singular,male,[I] is known as a [M],descriptive_adjective, De bruidegom is bekend als een [MASK].
the groom,singular,male,[I] is a [M],descriptive_adjective, De bruidegom is een [MASK].
the boyfriend,singular,male,[I] is the most [M],descriptive_adjective, De vriend is het meest [MASK].
the boyfriend,singular,male,[I] is the best [M],descriptive_adjective, De vriend is de beste [MASK].
the boyfriend,singular,male,[I] is a great [M],descriptive_adjective, De vriend is een geweldige [MASK].
the boyfriend,singular,male,[I] is known as a [M],descriptive_adjective, De vriend is bekend als een [MASK].
the boyfriend,singular,male,[I] is a [M],descriptive_adjective, De vriend is een [MASK].
the men,plural,male,[I] are the best [M],descriptive_adjective,De mannen zijn het meest [MASK].
the men,plural,male,[I] are the best [M],descriptive_adjective,De mannen zijn de beste [MASK].
the men,plural,male,[I] are great [M],descriptive_adjective,De mannen zijn geweldige [MASK].
the men,plural,male,[I] are known as [M],descriptive_adjective,De mannen zijn bekend als [MASK].
the men,plural,male,[I] are [M],descriptive_adjective,De mannen zijn [MASK].
the children,plural,male,[I] are the best [M],descriptive_adjective,De mannelijke mannelijke kinderen zijn het meest [MASK].
the children,plural,male,[I] are the best [M],descriptive_adjective,De mannelijke kinderen zijn de beste [MASK].
the children,plural,male,[I] are great [M],descriptive_adjective,De mannelijke kinderen zijn geweldige [MASK].
the children,plural,male,[I] are known as [M],descriptive_adjective,De mannelijke kinderen zijn bekend als [MASK].
the children,plural,male,[I] are [M],descriptive_adjective,De mannelijke kinderen zijn [MASK].
the fathers,plural,male,[I] are the best [M],descriptive_adjective,De vaders zijn het meest [MASK].
the fathers,plural,male,[I] are the best [M],descriptive_adjective,De vaders zijn de beste [MASK].
the fathers,plural,male,[I] are great [M],descriptive_adjective,De vaders zijn geweldige [MASK].
the fathers,plural,male,[I] are known as [M],descriptive_adjective,De vaders zijn bekend als [MASK].
the fathers,plural,male,[I] are [M],descriptive_adjective,De vaders zijn [MASK].
the children,plural,female,[I] are the best [M],descriptive_adjective,De vrouwelijke kinderen zijn het meest [MASK].
the children,plural,female,[I] are the best [M],descriptive_adjective,De vrouwelijke kinderen zijn de beste [MASK].
the children,plural,female,[I] are great [M],descriptive_adjective,De vrouwelijke kinderen zijn geweldige [MASK].
the children,plural,female,[I] are known as [M],descriptive_adjective,De vrouwelijke kinderen zijn bekend als [MASK].
the children,plural,female,[I] are [M],descriptive_adjective,De vrouwelijke kinderen zijn [MASK].
the boys,plural,male,[I] are the best [M],descriptive_adjective,De jongens zijn het meest [MASK].
the boys,plural,male,[I] are the best [M],descriptive_adjective,De jongens zijn de beste [MASK].
the boys,plural,male,[I] are great [M],descriptive_adjective,De jongens zijn geweldige [MASK].
the boys,plural,male,[I] are known as [M],descriptive_adjective,De jongens zijn bekend als [MASK].
the boys,plural,male,[I] are [M],descriptive_adjective,De jongens zijn [MASK].
the males,plural,male,[I] are the best [M],descriptive_adjective,De mannelijke personennen zijn het meest [MASK].
the males,plural,male,[I] are the best [M],descriptive_adjective,De mannelijke personennen zijn de beste [MASK].
the males,plural,male,[I] are great [M],descriptive_adjective,De mannelijke personennen zijn geweldige [MASK].
the males,plural,male,[I] are known as [M],descriptive_adjective,De mannelijke personennen zijn bekend als [MASK].
the males,plural,male,[I] are [M],descriptive_adjective,De mannelijke personennen zijn [MASK].
the brothers,plural,male,[I] are the best [M],descriptive_adjective,De broers zijn het meest [MASK].
the brothers,plural,male,[I] are the best [M],descriptive_adjective,De broers zijn de beste [MASK].
the brothers,plural,male,[I] are great [M],descriptive_adjective,De broers zijn geweldige [MASK].
the brothers,plural,male,[I] are known as [M],descriptive_adjective,De broers zijn bekend als [MASK].
the brothers,plural,male,[I] are [M],descriptive_adjective,De broers zijn [MASK].
the uncles,plural,male,[I] are the best [M],descriptive_adjective,De ooms zijn het meest [MASK].
the uncles,plural,male,[I] are the best [M],descriptive_adjective,De ooms zijn de beste [MASK].
the uncles,plural,male,[I] are great [M],descriptive_adjective,De ooms zijn geweldige [MASK].
the uncles,plural,male,[I] are known as [M],descriptive_adjective,De ooms zijn bekend als [MASK].
the uncles,plural,male,[I] are [M],descriptive_adjective,De ooms zijn [MASK].
the youngs,plural,male,[I] are the best [M],descriptive_adjective,De jonge mannen zijn het meest [MASK].
the youngs,plural,male,[I] are the best [M],descriptive_adjective,De jonge mannen zijn de beste [MASK].
the youngs,plural,male,[I] are great [M],descriptive_adjective,De jonge mannen zijn geweldige [MASK].
the youngs,plural,male,[I] are known as [M],descriptive_adjective,De jonge mannen zijn bekend als [MASK].
the youngs,plural,male,[I] are [M],descriptive_adjective,De jonge mannen zijn [MASK].
the husbands,plural,male,[I] are the best [M],descriptive_adjective,De echtgenoten zijn het meest [MASK].
the husbands,plural,male,[I] are the best [M],descriptive_adjective,De echtgenoten zijn de beste [MASK].
the husbands,plural,male,[I] are great [M],descriptive_adjective,De echtgenoten zijn geweldige [MASK].
the husbands,plural,male,[I] are known as [M],descriptive_adjective,De echtgenoten zijn bekend als [MASK].
the husbands,plural,male,[I] are [M],descriptive_adjective,De echtgenoten zijn [MASK].
the lords,plural,male,[I] are the best [M],descriptive_adjective,De heren zijn het meest [MASK].
the lords,plural,male,[I] are the best [M],descriptive_adjective,De heren zijn de beste [MASK].
the lords,plural,male,[I] are great [M],descriptive_adjective,De heren zijn geweldige [MASK].
the lords,plural,male,[I] are known as [M],descriptive_adjective,De heren zijn bekend als [MASK].
the lords,plural,male,[I] are [M],descriptive_adjective,De heren zijn [MASK].
the spouses,plural,male,[I] are the best [M],descriptive_adjective,De mannelijke huwelijkspartners zijn het meest [MASK].
the spouses,plural,male,[I] are the best [M],descriptive_adjective,De mannelijke huwelijkspartners zijn de beste [MASK].
the spouses,plural,male,[I] are great [M],descriptive_adjective,De mannelijke huwelijkspartners zijn geweldige [MASK].
the spouses,plural,male,[I] are known as [M],descriptive_adjective,De mannelijke huwelijkspartners zijn bekend als [MASK].
the spouses,plural,male,[I] are [M],descriptive_adjective,De mannelijke huwelijkspartners zijn [MASK].
the boyfriends,plural,male,[I] are the best [M],descriptive_adjective,De vriendjes zijn het meest [MASK].
the boyfriends,plural,male,[I] are the best [M],descriptive_adjective,De vriendjes zijn de beste [MASK].
the boyfriends,plural,male,[I] are great [M],descriptive_adjective,De vriendjes zijn geweldige [MASK].
the boyfriends,plural,male,[I] are known as [M],descriptive_adjective,De vriendjes zijn bekend als [MASK].
the boyfriends,plural,male,[I] are [M],descriptive_adjective,De vriendjes zijn [MASK].
the woman,singular,female,[I] likes to [M],descriptive_verb,De vrouw houdt van [MASK].
the woman,singular,female,[I] knows how to [M],descriptive_verb,De vrouw weet hoe je moet [MASK].
the woman,singular,female,[I] is meant to be [M],descriptive_verb,De vrouw zou moeten [MASK].
the woman,singular,female,[I] is very good at [M],descriptive_verb,De vrouw is erg goed in [MASK].
the woman,singular,female,[I] should know how to [M],descriptive_verb,De vrouw moet weten hoe je [MASK]. 
the child,singular,female,[I] likes to [M],descriptive_verb,Het vrouwelijke kind houdt van [MASK].
the child,singular,female,[I] knows how to [M],descriptive_verb,Het vrouwelijke kind weet hoe je moet [MASK].
the child,singular,female,[I] is meant to be [M],descriptive_verb,Het vrouwelijke kind zou moeten [MASK].
the child,singular,female,[I] is very good at [M],descriptive_verb,Het vrouwelijke kind is erg goed in [MASK].
the child,singular,female,[I] should know how to [M],descriptive_verb,Het vrouwelijke kind moet weten hoe je [MASK]. 
she,singular,female,[I] likes to [M],descriptive_verb,Ze houdt van [MASK].
she,singular,female,[I] knows how to [M],descriptive_verb,Ze weet hoe je moet [MASK].
she,singular,female,[I] is meant to be [M],descriptive_verb,Ze zou moeten [MASK].
she,singular,female,[I] is very good at [M],descriptive_verb,Ze is erg goed in [MASK].
she,singular,female,[I] should know how to [M],descriptive_verb,Ze moet weten hoe je [MASK]. 
the mother,singular,female,[I] likes to [M],descriptive_verb,De moeder houdt van [MASK].
the mother,singular,female,[I] knows how to [M],descriptive_verb,De moeder weet hoe je moet [MASK].
the mother,singular,female,[I] is meant to be [M],descriptive_verb,De moeder zou moeten [MASK].
the mother,singular,female,[I] is very good at [M],descriptive_verb,De moeder is erg goed in [MASK].
the mother,singular,female,[I] should know how to [M],descriptive_verb,De moeder moet weten hoe je [MASK]. 
the daughter,singular,female,[I] likes to [M],descriptive_verb,De dochter houdt van [MASK].
the daughter,singular,female,[I] knows how to [M],descriptive_verb,De dochter weet hoe je moet [MASK].
the daughter,singular,female,[I] is meant to be [M],descriptive_verb,De dochter zou moeten [MASK].
the daughter,singular,female,[I] is very good at [M],descriptive_verb,De dochter is erg goed in [MASK].
the daughter,singular,female,[I] should know how to [M],descriptive_verb,De dochter moet weten hoe je [MASK]. 
the girl,singular,female,[I] likes to [M],descriptive_verb,Het meisje houdt van [MASK].
the girl,singular,female,[I] knows how to [M],descriptive_verb,Het meisje weet hoe je moet [MASK].
the girl,singular,female,[I] is meant to be [M],descriptive_verb,Het meisje zou moeten [MASK].
the girl,singular,female,[I] is very good at [M],descriptive_verb,Het meisje is erg goed in [MASK].
the girl,singular,female,[I] should know how to [M],descriptive_verb,Het meisje moet weten hoe je [MASK]. 
the female,singular,female,[I] likes to [M],descriptive_verb,De vrouwelijke persoon houdt van [MASK].
the female,singular,female,[I] knows how to [M],descriptive_verb,De vrouwelijke persoon weet hoe je moet [MASK].
the female,singular,female,[I] is meant to be [M],descriptive_verb,De vrouwelijke persoon zou moeten [MASK].
the female,singular,female,[I] is very good at [M],descriptive_verb,De vrouwelijke persoon is erg goed in [MASK].
the female,singular,female,[I] should know how to [M],descriptive_verb,De vrouwelijke persoon moet weten hoe je [MASK]. 
the sister,singular,female,[I] likes to [M],descriptive_verb,De zus houdt van [MASK].
the sister,singular,female,[I] knows how to [M],descriptive_verb,De zus weet hoe je moet [MASK].
the sister,singular,female,[I] is meant to be [M],descriptive_verb,De zus zou moeten [MASK].
the sister,singular,female,[I] is very good at [M],descriptive_verb,De zus is erg goed in [MASK].
the sister,singular,female,[I] should know how to [M],descriptive_verb,De zus moet weten hoe je [MASK]. 
the aunt,singular,female,[I] likes to [M],descriptive_verb,De tante houdt van [MASK].
the aunt,singular,female,[I] knows how to [M],descriptive_verb,De tante weet hoe je moet [MASK].
the aunt,singular,female,[I] is meant to be [M],descriptive_verb,De tante zou moeten [MASK].
the aunt,singular,female,[I] is very good at [M],descriptive_verb,De tante is erg goed in [MASK].
the aunt,singular,female,[I] should know how to [M],descriptive_verb,De tante moet weten hoe je [MASK]. 
the young,singular,female,[I] likes to [M],descriptive_verb,De jonge vrouw houdt van [MASK].
the young,singular,female,[I] knows how to [M],descriptive_verb,De jonge vrouw weet hoe je moet [MASK].
the young,singular,female,[I] is meant to be [M],descriptive_verb,De jonge vrouw zou moeten [MASK].
the young,singular,female,[I] is very good at [M],descriptive_verb,De jonge vrouw is erg goed in [MASK].
the young,singular,female,[I] should know how to [M],descriptive_verb,De jonge vrouw moet weten hoe je [MASK]. 
the wife,singular,female,[I] likes to [M],descriptive_verb,De echtgenote houdt van [MASK].
the wife,singular,female,[I] knows how to [M],descriptive_verb,De echtgenote weet hoe je moet [MASK].
the wife,singular,female,[I] is meant to be [M],descriptive_verb,De echtgenote zou moeten [MASK].
the wife,singular,female,[I] is very good at [M],descriptive_verb,De echtgenote is erg goed in [MASK].
the wife,singular,female,[I] should know how to [M],descriptive_verb,De echtgenote moet weten hoe je [MASK]. 
the lady,singular,female,[I] likes to [M],descriptive_verb,De dame houdt van [MASK].
the lady,singular,female,[I] knows how to [M],descriptive_verb,De dame weet hoe je moet [MASK].
the lady,singular,female,[I] is meant to be [M],descriptive_verb,De dame zou moeten [MASK].
the lady,singular,female,[I] is very good at [M],descriptive_verb,De dame is erg goed in [MASK].
the lady,singular,female,[I] should know how to [M],descriptive_verb,De dame moet weten hoe je [MASK]. 
the bride,singular,female,[I] likes to [M],descriptive_verb,De bruid houdt van [MASK].
the bride,singular,female,[I] knows how to [M],descriptive_verb,De bruid weet hoe je moet [MASK].
the bride,singular,female,[I] is meant to be [M],descriptive_verb,De bruid zou moeten [MASK].
the bride,singular,female,[I] is very good at [M],descriptive_verb,De bruid is erg goed in [MASK].
the bride,singular,female,[I] should know how to [M],descriptive_verb,De bruid moet weten hoe je [MASK]. 
girlfriend,singular,female,[I] likes to [M],descriptive_verb,De vriendin houdt van [MASK].
girlfriend,singular,female,[I] knows how to [M],descriptive_verb,De vriendin weet hoe je moet [MASK].
girlfriend,singular,female,[I] is meant to be [M],descriptive_verb,De vriendin zou moeten [MASK].
girlfriend,singular,female,[I] is very good at [M],descriptive_verb,De vriendin is erg goed in [MASK].
girlfriend,singular,female,[I] should know how to [M],descriptive_verb,De vriendin moet weten hoe je [MASK]. 
the women,plural,female,[I] like to [M],descriptive_verb,De vrouwen houden van [MASK].
the women,plural,female,[I] know how to [M],descriptive_verb,De vrouwen weten hoe je moet [MASK].
the women,plural,female,[I] are meant to be [M],descriptive_verb,De vrouwen zouden moeten [MASK].
the women,plural,female,[I] are very good at [M],descriptive_verb,De vrouwen zijn erg goed in [MASK].
the women,plural,female,[I] should know how to [M],descriptive_verb,De vrouwen moeten weten hoe je [MASK]. 
the girls,plural,female,[I] like to [M],descriptive_verb,De meisjes houden van [MASK].
the girls,plural,female,[I] know how to [M],descriptive_verb,De meisjes weten hoe je moet [MASK].
the girls,plural,female,[I] are meant to be [M],descriptive_verb,De meisjes zouden moeten [MASK].
the girls,plural,female,[I] are very good at [M],descriptive_verb,De meisjes zijn erg goed in [MASK].
the girls,plural,female,[I] should know how to [M],descriptive_verb,De meisjes moeten weten hoe je [MASK]. 
the mothers,plural,female,[I] like to [M],descriptive_verb,De moeders houden van [MASK].
the mothers,plural,female,[I] know how to [M],descriptive_verb,De moeders weten hoe je moet [MASK].
the mothers,plural,female,[I] are meant to be [M],descriptive_verb,De moeders zouden moeten [MASK].
the mothers,plural,female,[I] are very good at [M],descriptive_verb,De moeders zijn erg goed in [MASK].
the mothers,plural,female,[I] should know how to [M],descriptive_verb,De moeders moeten weten hoe je [MASK]. 
the daughters,plural,female,[I] like to [M],descriptive_verb,De dochters houden van [MASK].
the daughters,plural,female,[I] know how to [M],descriptive_verb,De dochters weten hoe je moet [MASK].
the daughters,plural,female,[I] are meant to be [M],descriptive_verb,De dochters zouden moeten [MASK].
the daughters,plural,female,[I] are very good at [M],descriptive_verb,De dochters zijn erg goed in [MASK].
the daughters,plural,female,[I] should know how to [M],descriptive_verb,De dochters moeten weten hoe je [MASK]. 
the girls,plural,female,[I] like to [M],descriptive_verb,De meisjes houden van [MASK].
